cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,ring-number,ring-type,spore-print-color,population,habitat,label
y,w,t,a,f,b,n,e,p,k,s,m,x,e
y,y,t,l,f,b,w,e,p,k,y,p,f,e
s,n,f,n,f,b,p,t,e,k,s,g,x,e
y,y,t,a,f,b,w,e,p,n,y,g,f,e
s,n,t,p,f,n,p,e,p,n,s,g,x,p
f,n,f,n,f,n,g,e,p,n,v,u,s,e
y,y,t,l,f,b,w,e,p,n,s,m,b,e
s,w,t,l,f,b,n,e,p,n,s,g,b,e
y,w,t,l,f,b,k,e,p,n,n,m,b,e
f,n,f,n,f,n,k,e,p,n,v,u,f,e
s,w,t,a,f,b,w,e,p,k,n,m,x,e
y,w,t,l,f,b,g,e,p,k,n,g,b,e
y,w,t,a,f,b,g,e,p,n,n,m,b,e
y,n,t,l,f,b,w,e,p,n,s,g,f,e
y,w,t,p,f,n,k,e,p,k,v,g,x,p
s,w,t,a,f,b,n,e,p,n,n,g,x,e
y,w,t,a,f,b,n,e,p,n,s,m,x,e
f,w,t,l,f,n,w,t,p,u,v,d,f,e
f,s,w,t,f,c,b,w,o,p,h,v,u,p
f,s,w,t,f,c,b,p,o,p,h,v,u,p
x,y,n,f,y,c,n,b,o,e,w,v,d,p
x,s,w,t,f,c,b,w,o,p,h,s,g,p
x,y,n,f,y,c,n,b,o,e,w,v,l,p
b,s,p,t,n,c,b,w,t,p,r,v,g,p
x,y,e,f,y,c,n,b,o,e,w,v,d,p
f,y,g,f,f,c,b,g,o,l,h,v,p,p
x,y,y,f,f,c,b,g,o,l,h,v,d,p
x,y,g,f,f,c,b,h,o,l,h,v,g,p
f,y,w,t,n,c,b,r,t,p,r,v,m,p
f,s,g,t,f,c,b,h,o,p,h,s,g,p
k,y,p,t,n,c,b,w,t,e,w,c,w,e
x,s,w,t,f,c,b,w,o,p,h,v,g,p
k,s,p,t,n,c,b,e,t,e,w,c,w,e
f,s,w,t,f,c,b,p,o,p,h,s,u,p
x,y,n,f,y,c,n,b,o,e,w,v,p,p
x,f,y,f,f,c,b,p,o,l,h,v,d,p
f,y,g,f,f,c,b,p,o,l,h,v,p,p
x,y,g,f,f,c,b,p,o,l,h,y,p,p
x,y,e,t,n,c,b,w,t,e,w,c,w,e
f,y,y,f,f,c,b,g,o,l,h,v,p,p
x,y,n,f,s,c,n,b,o,e,w,v,d,p
x,s,b,t,f,c,b,w,o,p,h,v,g,p
f,y,y,f,f,c,b,h,o,l,h,y,d,p
k,y,e,t,n,c,b,e,t,e,w,c,w,e
f,y,p,t,n,c,b,g,t,p,r,v,m,p
f,y,w,t,n,c,b,w,t,p,r,v,m,p
f,y,y,f,f,c,b,g,o,l,h,y,p,p
f,y,y,f,f,c,b,h,o,l,h,v,g,p
f,y,r,f,n,c,n,w,o,f,h,v,d,e
x,s,w,t,f,c,b,p,o,p,h,s,g,p
x,s,w,t,f,c,b,p,o,p,h,s,g,p
x,s,b,t,f,c,b,p,o,p,h,s,u,p
x,y,n,f,y,c,n,b,o,e,w,v,p,p
k,y,e,t,n,c,b,e,t,e,w,c,w,e
k,s,p,t,n,c,b,w,t,e,w,c,w,e
x,y,b,t,n,c,b,w,t,e,w,c,w,e
x,s,g,t,f,c,b,h,o,p,h,v,g,p
f,y,y,f,f,c,b,p,o,l,h,y,g,p
x,y,n,f,y,c,n,b,o,e,w,v,l,p
c,y,w,t,n,w,n,w,o,p,w,c,l,p
f,s,w,t,f,c,b,p,o,p,h,v,g,p
f,s,g,t,f,c,b,w,o,p,h,s,g,p
x,y,e,f,y,c,n,b,o,e,w,v,l,p
x,s,g,t,f,c,b,w,o,p,h,s,g,p
x,y,n,f,s,c,n,b,o,e,w,v,d,p
x,y,p,t,n,c,b,e,t,e,w,c,w,e
f,y,w,f,n,c,n,h,o,f,h,y,d,e
f,y,y,f,f,c,b,h,o,l,h,y,g,p
x,y,n,f,y,c,n,b,o,e,w,v,d,p
x,f,y,f,f,c,b,g,o,l,h,y,d,p
x,y,n,f,s,c,n,b,o,e,w,v,l,p
x,s,g,t,f,c,b,h,o,p,h,v,u,p
x,y,n,f,s,c,n,b,o,e,w,v,d,p
k,f,n,f,n,w,n,w,o,e,w,v,l,e
x,s,w,t,f,c,b,p,o,p,h,v,u,p
f,y,y,f,f,c,b,p,o,l,h,y,p,p
x,y,p,t,n,c,b,e,t,e,w,c,w,e
b,y,b,t,n,c,b,r,t,p,r,v,m,p
f,y,g,f,f,c,b,h,o,l,h,v,p,p
f,y,r,f,n,c,n,h,o,f,h,v,d,e
x,y,n,f,f,c,n,b,o,e,w,v,l,p
x,y,n,f,y,c,n,b,o,e,w,v,p,p
f,s,b,t,f,c,b,p,o,p,h,v,g,p
f,y,y,f,f,c,b,g,o,l,h,v,d,p
x,y,n,f,f,c,n,b,o,e,w,v,d,p
f,y,n,t,n,c,b,e,t,e,w,c,w,e
x,y,n,f,f,c,n,b,o,e,w,v,l,p
f,y,e,t,n,c,b,w,t,e,w,c,w,e
x,y,b,t,n,c,b,w,t,e,w,c,w,e
x,s,n,t,n,c,b,e,t,e,w,c,w,e
f,s,w,t,f,c,b,w,o,p,h,v,g,p
x,y,b,t,n,c,b,e,t,e,w,c,w,e
x,f,y,f,f,c,b,g,o,l,h,y,g,p
f,y,y,f,f,c,b,g,o,l,h,y,d,p
f,y,y,f,f,c,b,g,o,l,h,y,g,p
k,y,e,t,n,c,b,w,t,e,w,c,w,e
f,s,w,t,f,c,b,p,o,p,h,v,u,p
k,y,c,f,n,w,n,w,o,e,w,v,l,e
k,y,n,f,n,w,n,w,o,e,w,v,l,e
b,s,p,t,n,c,b,r,t,p,r,v,m,p
x,y,n,f,y,c,n,b,o,e,w,v,p,p
x,s,b,t,f,c,b,h,o,p,h,s,u,p
f,y,r,f,n,c,n,p,o,f,h,v,d,e
x,s,b,t,f,c,b,w,o,p,h,s,g,p
f,y,u,f,n,c,n,p,o,f,h,y,d,e
x,y,n,f,y,c,n,b,o,e,w,v,p,p
x,s,w,t,f,c,b,p,o,p,h,v,u,p
x,s,e,t,n,c,b,w,t,e,w,c,w,e
f,y,p,t,n,c,b,e,t,e,w,c,w,e
x,y,n,f,s,c,n,b,o,e,w,v,p,p
x,y,n,f,f,c,n,b,o,e,w,v,p,p
x,s,w,t,f,c,b,p,o,p,h,v,g,p
f,y,y,f,f,c,b,p,o,l,h,v,p,p
x,y,n,t,n,c,b,e,t,e,w,c,w,e
x,y,e,t,n,c,b,e,t,e,w,c,w,e
x,s,w,t,f,c,b,w,o,p,h,v,u,p
x,y,y,f,f,c,b,h,o,l,h,v,g,p
f,s,b,t,n,c,b,g,t,p,r,v,m,p
f,f,y,f,f,c,b,h,o,l,h,v,p,p
x,s,g,t,f,c,b,p,o,p,h,v,g,p
f,s,p,t,n,c,b,w,t,e,w,c,w,e
x,y,n,t,n,c,b,e,t,e,w,c,w,e
b,y,w,t,n,c,b,r,t,p,r,v,m,p
f,y,y,f,f,c,b,g,o,l,h,v,d,p
x,y,e,f,y,c,n,b,o,e,w,v,d,p
x,s,b,t,f,c,b,h,o,p,h,s,g,p
x,s,b,t,f,c,b,h,o,p,h,v,g,p
x,y,n,f,s,c,n,b,o,e,w,v,p,p
b,y,p,t,n,c,b,g,t,p,r,v,g,p
x,y,c,f,n,w,n,w,o,e,w,v,l,e
x,y,n,f,f,c,n,b,o,e,w,v,d,p
x,s,w,t,f,c,b,w,o,p,h,s,u,p
x,y,n,f,f,c,n,b,o,e,w,v,d,p
f,y,n,f,n,w,n,w,o,e,w,v,l,e
x,y,n,f,y,c,n,b,o,e,w,v,p,p
f,s,g,t,f,c,b,p,o,p,h,s,u,p
x,y,e,f,y,c,n,b,o,e,w,v,d,p
x,y,r,f,n,c,n,h,o,f,h,y,d,e
b,y,p,t,n,c,b,w,t,p,r,v,m,p
x,s,p,t,n,c,b,w,t,e,w,c,w,e
x,y,n,f,y,c,n,b,o,e,w,v,l,p
x,y,n,f,f,c,n,b,o,e,w,v,p,p
f,s,g,t,f,c,b,w,o,p,h,v,g,p
f,y,y,f,f,c,b,p,o,l,h,v,p,p
f,y,p,t,n,c,b,r,t,p,r,v,m,p
x,y,n,f,s,c,n,b,o,e,w,v,p,p
x,y,n,f,s,c,n,b,o,e,w,v,d,p
f,s,b,t,n,c,b,e,t,e,w,c,w,e
f,s,b,t,f,c,b,p,o,p,h,v,u,p
x,y,c,f,n,w,n,w,o,e,w,v,l,e
x,y,w,f,n,c,n,w,o,f,h,y,d,e
x,y,n,f,y,c,n,b,o,e,w,v,l,p
f,y,n,f,n,w,n,w,o,e,w,v,l,e
x,y,n,f,f,c,n,b,o,e,w,v,d,p
x,y,n,f,s,c,n,b,o,e,w,v,d,p
k,y,p,t,n,c,b,e,t,e,w,c,w,e
f,s,w,t,n,c,b,r,t,p,r,v,m,p
x,y,n,f,f,c,n,b,o,e,w,v,l,p
f,y,y,f,f,c,b,g,o,l,h,v,g,p
k,y,n,f,n,w,n,w,o,e,w,v,l,e
f,s,g,t,f,c,b,p,o,p,h,v,g,p
f,s,w,t,n,c,b,r,t,p,r,v,g,p
f,f,g,f,f,c,b,h,o,l,h,y,g,p
f,s,n,t,n,c,b,w,t,e,w,c,w,e
x,f,y,f,f,c,b,p,o,l,h,y,d,p
x,y,n,f,s,c,n,b,o,e,w,v,l,p
x,y,e,f,y,c,n,b,o,e,w,v,p,p
f,y,y,f,f,c,b,g,o,l,h,v,g,p
b,s,w,t,n,c,b,g,t,p,r,v,g,p
x,s,b,t,f,c,b,p,o,p,h,v,u,p
f,y,b,t,n,c,b,w,t,e,w,c,w,e
x,f,c,f,n,w,n,w,o,e,w,v,l,e
f,s,w,t,f,c,b,h,o,p,h,v,u,p
k,s,p,t,n,c,b,e,t,e,w,c,w,e
k,y,n,t,n,c,b,e,t,e,w,c,w,e
x,y,b,t,n,c,b,e,t,e,w,c,w,e
x,f,y,f,f,c,b,h,o,l,h,y,g,p
f,s,g,t,f,c,b,h,o,p,h,v,g,p
f,y,y,f,f,c,b,g,o,l,h,v,p,p
x,y,e,t,n,c,b,e,t,e,w,c,w,e
f,s,b,t,f,c,b,p,o,p,h,v,g,p
x,y,n,f,n,w,n,w,o,e,w,v,l,e
f,y,y,f,f,c,b,g,o,l,h,v,d,p
f,f,g,f,f,c,b,g,o,l,h,v,d,p
b,y,b,t,n,c,b,r,t,p,r,v,g,p
x,y,e,f,y,c,n,b,o,e,w,v,p,p
f,y,y,f,f,c,b,p,o,l,h,y,p,p
f,f,y,f,f,c,b,g,o,l,h,v,p,p
f,y,w,t,n,c,b,g,t,p,r,v,g,p
k,s,e,t,n,c,b,e,t,e,w,c,w,e
f,y,y,f,f,c,b,g,o,l,h,v,p,p
k,s,n,t,n,c,b,e,t,e,w,c,w,e
f,y,y,f,n,c,n,w,o,e,w,v,d,p
f,y,g,f,f,c,b,g,o,l,h,y,p,p
f,y,y,f,f,c,b,g,o,l,h,v,g,p
x,y,e,f,y,c,n,b,o,e,w,v,p,p
f,s,b,t,n,c,b,w,t,e,w,c,w,e
f,s,w,t,f,c,b,w,o,p,h,v,u,p
x,s,w,t,f,c,b,w,o,p,h,s,g,p
f,y,g,f,f,c,b,h,o,l,h,y,d,p
f,y,p,t,n,c,b,w,t,e,w,c,w,e
f,y,y,f,f,c,b,p,o,l,h,y,g,p
f,y,y,f,f,c,b,p,o,l,h,y,p,p
k,s,e,t,n,c,b,w,t,e,w,c,w,e
x,y,n,t,n,c,b,e,t,e,w,c,w,e
x,y,y,f,f,c,b,h,o,l,h,v,g,p
f,s,b,t,f,c,b,p,o,p,h,v,g,p
x,y,g,f,f,c,b,g,o,l,h,v,d,p
f,s,g,t,f,c,b,w,o,p,h,s,u,p
x,s,w,t,f,c,b,p,o,p,h,v,g,p
x,f,n,f,n,c,n,w,o,e,w,v,d,p
f,s,b,t,f,c,b,h,o,p,h,s,g,p
f,y,e,t,n,c,b,e,t,e,w,c,w,e
f,y,y,f,f,c,b,g,o,l,h,y,g,p
x,s,b,t,f,c,b,p,o,p,h,s,u,p
k,f,n,f,n,w,n,w,o,e,w,v,l,e
f,y,y,f,f,c,b,p,o,l,h,y,g,p
k,y,c,f,n,w,n,w,o,e,w,v,l,e
x,f,g,f,f,c,b,p,o,l,h,y,p,p
x,y,n,f,y,c,n,b,o,e,w,v,p,p
f,y,p,t,n,c,b,w,t,e,w,c,w,e
x,s,b,t,f,c,b,h,o,p,h,v,g,p
x,y,g,f,f,c,b,h,o,l,h,y,d,p
f,y,y,f,f,c,b,p,o,l,h,y,g,p
x,y,e,f,y,c,n,b,o,e,w,v,d,p
f,y,r,f,n,c,n,w,o,f,h,y,d,e
f,y,y,f,f,c,b,p,o,l,h,y,p,p
x,s,g,t,f,c,b,h,o,p,h,v,g,p
x,s,w,t,f,c,b,w,o,p,h,v,g,p
f,s,b,t,f,c,b,w,o,p,h,s,g,p
x,y,n,t,n,c,b,w,t,e,w,c,w,e
f,f,y,f,n,c,n,w,o,e,w,v,d,p
f,y,u,f,n,c,n,w,o,f,h,v,d,e
x,y,n,f,y,c,n,b,o,e,w,v,l,p
x,s,n,t,n,c,b,w,t,e,w,c,w,e
x,s,w,t,f,c,b,w,o,p,h,v,u,p
f,y,y,f,f,c,b,p,o,l,h,v,d,p
f,s,b,t,n,c,b,e,t,e,w,c,w,e
k,f,c,f,n,w,n,w,o,e,w,v,l,e
x,s,g,t,f,c,b,p,o,p,h,v,u,p
f,y,g,f,f,c,b,h,o,l,h,v,p,p
x,y,e,f,y,c,n,b,o,e,w,v,l,p
f,y,p,t,n,c,b,e,t,e,w,c,w,e
k,y,p,t,n,c,b,w,t,e,w,c,w,e
x,y,y,f,f,c,b,h,o,l,h,v,g,p
x,y,n,f,y,c,n,b,o,e,w,v,d,p
f,s,n,t,n,c,b,e,t,e,w,c,w,e
f,y,y,f,f,c,b,h,o,l,h,y,g,p
